Month,Units Produced,Total Equip Run Time,Employee Hours,Mean Temp,Min Temp,Max Temp,Pct Sun,Avg Equip Age,Energy
1,1202,2452,33264,49,38,61,52,83.5,28416.7
2,1326,3181,39888,53,43,65,56,84.5,34891.7
3,1121,2312,34128,60,50,72,75,85.5,28375
4,1741,3393,46296,65,56,76,65,86.5,37425
5,1124,2730,37488,74,64,83,66,87.5,32391.7
6,1306,2819,42528,80,68,90,66,88.5,33800
7,1568,2888,44976,83,72,91,74,89.5,34966.7
8,1413,2747,41592,82,73,90,74,90.5,34000
9,1684,2726,39768,76,69,87,70,91.5,32900
10,1555,3224,43320,67,55,80,71,92.5,36700
11,1661,3110,43128,58,48,69,64,93.5,34508.3
12,1515,2604,25200,52,42,62,78,64,29516.7
13,1962,3119,43200,50,39,62,63,65,33591.7
14,1108,2779,43632,55,43,65,78,66,31333.3
15,1587,2795,43320,61,48,71,76,67,32025
16,1988,3420,34752,66,56,76,74,68,37241.7
17,1683,3360,44544,74,62,84,76,69,37425
18,1613,3419,32952,78,69,89,78,70,39041.7
19,1176,3175,42576,81,72,90,65,71,37066.7
20,1867,3675,45816,81,71,90,66,72,40725
